Market,Filled Type,Filled Quantity,Filled Price,Order Price,Fee Rate,Trading Fee,feeCoin,ExecFeeV2,Direction,Order Type,Trasaction ID,Order No.,Transaction Time(UTC+0)
COINAUSDT,Trade,5.952,97.92,98.31,0.00055,0.32055091,USDT,0.32055091,Long,Market, 042ffd92, 239a9bce,11:00 2026-02-09
COINCUSDT,Trade,2671,0.37319,0.37170,0.00055,0.54823477,USDT,0.54823477,Short,Market, b8e54921, da35bda6,23:00 2026-02-08
COINCUSDT,Trade,2671,0.36790,0.36937,0.00055,0.5404635,USDT,0.5404635,Long,Market, 1a265c9c, 67ef9e82,21:00 2026-02-08
COINAUSDT,Liquidation,8.842,89.01,88.65,0.00055,0.43286453,USDT,0.43286453,Short,Market, d0fdd15c, 8477e7e7,17:00 2026-02-07
COINAUSDT,Funding,8.842,97.81,0,-0.00003403,-0.02943128,USDT,-0.02943128,Long,--, aeec4c1b, 4e2f2deb,16:00 2026-02-07
COINAUSDT,Funding,8.842,97.81,0,-0.00000562,-0.00486349,USDT,-0.00486349,Long,--, 0a07f914, 948a919c,08:00 2026-02-07
COINAUSDT,Trade,8.842,97.81,98.20,0.00055,0.47565981,USDT,0.47565981,Long,Market, 190a3a85, 6083f156,04:00 2026-02-07
COINAUSDT,Trade,14.621,94.58,94.96,0.00055,0.7605698,USDT,0.7605698,Long,Market, 066ae315, a69ef8d3,11:00 2026-02-06
COINAUSDT,Funding,14.621,96.76,0,-0.00005354,-0.0757523,USDT,-0.0757523,Short,--, 0023b188, bd96fb7e,08:00 2026-02-06
COINAUSDT,Trade,14.621,96.76,96.37,0.00055,0.77810038,USDT,0.77810038,Short,Market, 30ccaa41, faa03c15,06:00 2026-02-06
COINCUSDT,Trade,6359,0.37615,0.37765,0.00055,1.31556582,USDT,1.31556582,Long,Market, 488b4a6f, f2b11a29,06:00 2026-02-05
COINCUSDT,Funding,6359,0.37439,0,-0.00001408,-0.03351061,USDT,-0.03351061,Short,--, 1cc5462e, 27b63193,00:00 2026-02-05
COINCUSDT,Trade,6359,0.37439,0.37289,0.00055,1.30941031,USDT,1.30941031,Short,Market, 5c4e8d6c, 11a97ecd,23:00 2026-02-04
COINCUSDT,Trade,4450,0.37213,0.37064,0.00055,0.91078818,USDT,0.91078818,Short,Market, cf349054, 2eae2303,12:00 2026-02-04
COINCUSDT,Funding,4450,0.37922,0,0.00002436,0.04110181,USDT,0.04110181,Long,--, 62413ef3, 2bbd9e2a,08:00 2026-02-04
COINCUSDT,Trade,4450,0.37922,0.38074,0.00055,0.92814095,USDT,0.92814095,Long,Market, 9739c007, ca7dd2cb,07:00 2026-02-04
COINAUSDT,Trade,12.822,97.22,96.83,0.00055,0.68560516,USDT,0.68560516,Short,Market, 81990713, ce1034bf,03:00 2026-02-04
COINAUSDT,Funding,12.822,99.33,0,-0.0000398,-0.05068917,USDT,-0.05068917,Long,--, a4f322b3, 5228cf91,00:00 2026-02-04
COINAUSDT,Funding,12.822,99.33,0,-0.00000596,-0.00759046,USDT,-0.00759046,Long,--, 9c84df0b, 9747b1e2,16:00 2026-02-03
COINAUSDT,Funding,12.822,99.33,0,-0.00003037,-0.03868512,USDT,-0.03868512,Long,--, 3a428a67, 5f002f8c,08:00 2026-02-03
COINAUSDT,Trade,12.822,99.33,99.73,0.00055,0.70048509,USDT,0.70048509,Long,Market, ec6750a1, 6d366938,01:00 2026-02-03
COINAUSDT,Trade,19.120,98.34,98.34,0.0002,0.37605216,USDT,0.37605216,Short,Limit, 3772a701, c0136715,13:00 2026-02-02
COINAUSDT,Funding,19.120,97.52,0,0.00001473,0.02747023,USDT,0.02747023,Long,--, 130a91a1, 49f433b0,08:00 2026-02-02
COINAUSDT,Funding,19.120,97.52,0,-0.00003981,-0.07423568,USDT,-0.07423568,Long,--, 0c488d96, 3b0de0d6,00:00 2026-02-02
COINAUSDT,Funding,19.120,97.52,0,0.00005335,0.09947763,USDT,0.09947763,Long,--, e16018bb, 3bba804c,16:00 2026-02-01
COINAUSDT,Funding,19.120,97.52,0,0.00001939,0.03615732,USDT,0.03615732,Long,--, e01394df, 3d11c644,08:00 2026-02-01
COINAUSDT,Trade,19.120,97.52,97.91,0.00055,1.02552032,USDT,1.02552032,Long,Market, 5a6e2c07, 58da5654,05:00 2026-02-01
COINAUSDT,Trade,12.894,93.18,92.81,0.00055,0.66080461,USDT,0.66080461,Short,Market, 4a2fe89f, 92575db9,11:00 2026-01-31
COINAUSDT,Funding,12.894,95.64,0,0.00007978,0.09837889,USDT,0.09837889,Long,--, 522db02b, a7422feb,08:00 2026-01-31
COINAUSDT,Funding,12.894,95.64,0,-0.00002443,-0.03012401,USDT,-0.03012401,Long,--, 0dc59c7b, 04cbe721,00:00 2026-01-31
COINAUSDT,Funding,12.894,95.64,0,0.00005029,0.06202062,USDT,0.06202062,Long,--, 3c679729, 6d7c83a3,16:00 2026-01-30
COINAUSDT,Trade,12.894,95.64,96.02,0.00055,0.67825019,USDT,0.67825019,Long,Market, 7acd7c7a, a8bf61ec,10:00 2026-01-30
COINCUSDT,Trade,5314,0.36972,0.36824,0.00055,1.08058064,USDT,1.08058064,Short,Market, da86a670, c8a4448b,15:00 2026-01-29
COINCUSDT,Funding,5314,0.37831,0,0.00002739,0.05507239,USDT,0.05507239,Long,--, 5f7267d4, c0e9a9ea,08:00 2026-01-29
COINCUSDT,Trade,5314,0.37831,0.37831,0.0002,0.40206787,USDT,0.40206787,Long,Limit, 0e131176, c0582a9f,03:00 2026-01-29
COINAUSDT,Trade,26.972,98.91,99.31,0.00055,1.46729029,USDT,1.46729029,Long,Market, 9eb7235c, e6c99b2b,23:00 2026-01-28
COINAUSDT,Funding,26.972,96.15,0,-0.00008694,-0.22547084,USDT,-0.22547084,Short,--, 2cb59c28, 2d975d44,16:00 2026-01-28
COINAUSDT,Funding,26.972,96.15,0,-0.00000786,-0.02038961,USDT,-0.02038961,Short,--, 1aab46f9, 3c7270d6,08:00 2026-01-28
COINAUSDT,Trade,26.972,96.15,95.77,0.00055,1.42634679,USDT,1.42634679,Short,Market, 71b659cc, 4d848365,06:00 2026-01-28
COINAUSDT,Trade,21.359,95.06,94.68,0.00055,1.1167126,USDT,1.1167126,Short,Market, 1a7d6881, 0c01e271,03:00 2026-01-27
COINAUSDT,Trade,21.359,98.37,98.76,0.00055,1.15559666,USDT,1.15559666,Long,Market, fc684d97, 89e7196b,00:00 2026-01-27
COINCUSDT,Trade,3111,0.38168,0.38321,0.00055,0.65307356,USDT,0.65307356,Long,Market, d0dda7c4, b04f1dc5,22:00 2026-01-25
COINCUSDT,Funding,3111,0.38177,0,-0.00005808,-0.06898634,USDT,-0.06898634,Short,--, d6dca778, 4716e2db,16:00 2026-01-25
COINCUSDT,Funding,3111,0.38177,0,-0.00000699,-0.00829749,USDT,-0.00829749,Short,--, a6256623, a6d70c70,08:00 2026-01-25
COINCUSDT,Funding,3111,0.38177,0,-0.00000469,-0.00556785,USDT,-0.00556785,Short,--, 6a9000cf, be2b5d5b,00:00 2026-01-25
COINCUSDT,Funding,3111,0.38177,0,-0.00008344,-0.09910604,USDT,-0.09910604,Short,--, 9719d921, 601c126b,16:00 2026-01-24
COINCUSDT,Trade,3111,0.38177,0.38177,0.0002,0.23753729,USDT,0.23753729,Short,Limit, 0ecb298e, 0900bafa,11:00 2026-01-24
COINAUSDT,Trade,22.366,100.24,100.64,0.00055,1.23308231,USDT,1.23308231,Long,Market, 381fb010, 7d7cd37c,22:00 2026-01-23
COINAUSDT,Funding,22.366,101.18,0,-0.00009942,-0.22498738,USDT,-0.22498738,Short,--, c63a2fa3, 9c19a547,16:00 2026-01-23
COINAUSDT,Funding,22.366,101.18,0,-0.00000393,-0.00889695,USDT,-0.00889695,Short,--, 66692499, 2ca31dc8,08:00 2026-01-23
COINAUSDT,Funding,22.366,101.18,0,-0.00004122,-0.09327364,USDT,-0.09327364,Short,--, 25da5165, 17ab931f,00:00 2026-01-23
COINAUSDT,Funding,22.366,101.18,0,-0.00005112,-0.11567491,USDT,-0.11567491,Short,--, ebcdecde, 6abf7488,16:00 2026-01-22
COINAUSDT,Trade,22.366,101.18,100.78,0.00055,1.24464553,USDT,1.24464553,Short,Market, 97493220, 5174c663,14:00 2026-01-22
COINBUSDT,Trade,278.6,2.5592,2.5490,0.00055,0.39214622,USDT,0.39214622,Short,Market, 1989c58a, 18082348,23:00 2026-01-21
COINBUSDT,Funding,278.6,2.5533,0,0.00010777,0.07666482,USDT,0.07666482,Long,--, 3c8a66c0, 01ed2c4a,16:00 2026-01-21
COINBUSDT,Funding,278.6,2.5533,0,0.00009543,0.06788476,USDT,0.06788476,Long,--, 25695093, aa0cd401,08:00 2026-01-21
COINBUSDT,Funding,278.6,2.5533,0,0.00009014,0.06411896,USDT,0.06411896,Long,--, e3cc22c1, 46298dbc,00:00 2026-01-21
COINBUSDT,Trade,278.6,2.5533,2.5635,0.00055,0.39124216,USDT,0.39124216,Long,Market, a0aea143, 75ce744c,16:00 2026-01-20
COINCUSDT,Trade,1331,0.38753,0.38908,0.00055,0.28369134,USDT,0.28369134,Long,Market, a149d62b, a2993166,17:00 2026-01-19
COINCUSDT,Funding,1331,0.39203,0,-0.00001785,-0.00931243,USDT,-0.00931243,Short,--, c7683ccd, 822dee54,16:00 2026-01-19
COINCUSDT,Funding,1331,0.39203,0,-0.00008501,-0.04435855,USDT,-0.04435855,Short,--, a20a9606, 6846c407,08:00 2026-01-19
COINCUSDT,Funding,1331,0.39203,0,-0.00000814,-0.00424713,USDT,-0.00424713,Short,--, 9a108433, f3edd337,00:00 2026-01-19
COINCUSDT,Trade,1331,0.39203,0.39046,0.00055,0.28698556,USDT,0.28698556,Short,Market, 3a232d82, c36995a0,17:00 2026-01-18
COINAUSDT,Trade,24.030,103.66,104.07,0.00055,1.37002239,USDT,1.37002239,Long,Market, 91476db2, 50f22583,07:00 2026-01-18
COINAUSDT,Funding,24.030,103.55,0,-0.0000433,-0.10774283,USDT,-0.10774283,Short,--, 06f35c71, 74d549a8,00:00 2026-01-18
COINAUSDT,Trade,24.030,103.55,103.14,0.00055,1.36856858,USDT,1.36856858,Short,Market, 95a14a23, a4557a89,20:00 2026-01-17
COINCUSDT,Trade,5261,0.39257,0.39414,0.00055,1.13592092,USDT,1.13592092,Long,Market, 77412f35, 9e77c06f,00:00 2026-01-17
COINCUSDT,Funding,5261,0.3982,0,-0.00007787,-0.16313658,USDT,-0.16313658,Short,--, 37558d50, fdc93aae,16:00 2026-01-16
COINCUSDT,Trade,5261,0.39820,0.39661,0.00055,1.15221161,USDT,1.15221161,Short,Market, b5eb843b, 91ca0904,10:00 2026-01-16
COINBUSDT,Liquidation,429.1,2.2984,2.2892,0.00055,0.54243389,USDT,0.54243389,Short,Market, 84da236c, fcf167aa,12:00 2026-01-15
COINBUSDT,Funding,429.1,2.5257,0,0.0000846,0.09168767,USDT,0.09168767,Long,--, de325dda, d025e191,08:00 2026-01-15
COINBUSDT,Funding,429.1,2.5257,0,0.00002146,0.0232534,USDT,0.0232534,Long,--, 92138c22, 8bed34cf,00:00 2026-01-15
COINBUSDT,Funding,429.1,2.5257,0,0.00006845,0.07418325,USDT,0.07418325,Long,--, edf84b2a, 1d0d22ea,16:00 2026-01-14
COINBUSDT,Trade,429.1,2.5257,2.5358,0.00055,0.59607783,USDT,0.59607783,Long,Market, b150aafd, 924759e9,14:00 2026-01-14
COINBUSDT,Trade,457.5,2.5267,2.5368,0.00055,0.63578089,USDT,0.63578089,Long,Market, 3968e188, e52efdf5,11:00 2026-01-13
COINBUSDT,Funding,457.5,2.5113,0,0.00000328,0.00377079,USDT,0.00377079,Short,--, 0cb0d03e, 0a0e6a28,08:00 2026-01-13
COINBUSDT,Trade,457.5,2.5113,2.5013,0.00055,0.63190586,USDT,0.63190586,Short,Market, 01a619eb, 03ac046a,03:00 2026-01-13
COINCUSDT,Trade,6111,0.38999,0.38843,0.00055,1.31077589,USDT,1.31077589,Short,Market, 5821ee84, b7e33a33,14:00 2026-01-12
COINCUSDT,Funding,6111,0.40014,0,0.00009203,0.2250427,USDT,0.2250427,Long,--, a4d159c2, a6437306,08:00 2026-01-12
COINCUSDT,Funding,6111,0.40014,0,-0.00002341,-0.05724093,USDT,-0.05724093,Long,--, fd731641, 2b982002,00:00 2026-01-12
COINCUSDT,Funding,6111,0.40014,0,0.0000664,0.16236001,USDT,0.16236001,Long,--, e3784ab5, bad6d434,16:00 2026-01-11
COINCUSDT,Funding,6111,0.40014,0,0.00011565,0.28279697,USDT,0.28279697,Long,--, 22a42ab3, 696111b1,08:00 2026-01-11
COINCUSDT,Trade,6111,0.40014,0.40174,0.00055,1.34489055,USDT,1.34489055,Long,Market, ca0e3763, af51231a,00:00 2026-01-11
COINAUSDT,Trade,4.878,100.64,101.04,0.00055,0.27000706,USDT,0.27000706,Long,Market, 3ee1f921, b6bc8ac7,02:00 2026-01-10
COINAUSDT,Funding,4.878,103.09,0,-0.00001766,-0.00888223,USDT,-0.00888223,Short,--, 944f816c, 79229d9c,00:00 2026-01-10
COINAUSDT,Trade,4.878,103.09,102.68,0.00055,0.27658016,USDT,0.27658016,Short,Market, 609cb552, d140d97f,20:00 2026-01-09
COINCUSDT,Trade,1206,0.40664,0.40827,0.00055,0.26972431,USDT,0.26972431,Long,Market, 7896e48e, 958afdbb,17:00 2026-01-09
COINCUSDT,Funding,1206,0.39544,0,-0.00006468,-0.03084751,USDT,-0.03084751,Short,--, 2a7d418f, e5e55533,16:00 2026-01-09
COINCUSDT,Funding,1206,0.39544,0,0.00003588,0.01711182,USDT,0.01711182,Short,--, 71d7b906, 1ab5542c,08:00 2026-01-09
COINCUSDT,Trade,1206,0.39544,0.39544,0.0002,0.09538013,USDT,0.09538013,Short,Limit, 547ee315, c4ec45e8,05:00 2026-01-09
COINCUSDT,Trade,2783,0.40212,0.40051,0.00055,0.61550498,USDT,0.61550498,Short,Market, c2d4f193, 6e824b18,03:00 2026-01-08
COINCUSDT,Funding,2783,0.40484,0,0.00011924,0.13434447,USDT,0.13434447,Long,--, 28baca89, e6925209,00:00 2026-01-08
COINCUSDT,Funding,2783,0.40484,0,0.00000883,0.00995283,USDT,0.00995283,Long,--, b87c4f56, 7b58bc8d,16:00 2026-01-07
COINCUSDT,Funding,2783,0.40484,0,0.00010468,0.11793592,USDT,0.11793592,Long,--, 69f1fcd9, dc3c33ba,08:00 2026-01-07
COINCUSDT,Funding,2783,0.40484,0,0.00011333,0.1276911,USDT,0.1276911,Long,--, 6c41f2da, 003d6bf1,00:00 2026-01-07
COINCUSDT,Trade,2783,0.40484,0.40484,0.0002,0.22533394,USDT,0.22533394,Long,Limit, a3f7f382, 437cd5ab,22:00 2026-01-06
COINAUSDT,Trade,20.359,101.95,102.36,0.00055,1.14158003,USDT,1.14158003,Long,Market, 6506f34b, f90a0dfb,10:00 2026-01-06
COINAUSDT,Funding,20.359,100.61,0,-0.00005931,-0.1214836,USDT,-0.1214836,Short,--, da31a4ad, b87d8292,08:00 2026-01-06
COINAUSDT,Funding,20.359,100.61,0,0.00002528,0.05178363,USDT,0.05178363,Short,--, e35e7431, 7b18ce17,00:00 2026-01-06
COINAUSDT,Funding,20.359,100.61,0,0.00003174,0.0650171,USDT,0.0650171,Short,--, 973c9cb2, e1278683,16:00 2026-01-05
COINAUSDT,Trade,20.359,100.61,100.21,0.00055,1.12657544,USDT,1.12657544,Short,Market, de2dfdc2, 3b768cfb,10:00 2026-01-05
COINAUSDT,Trade,18.841,98.48,98.09,0.00055,1.02050392,USDT,1.02050392,Short,Market, a530b433, 1e737ba4,21:00 2026-01-04
COINAUSDT,Trade,18.841,99.18,99.58,0.00055,1.02775771,USDT,1.02775771,Long,Market, 78200bf2, 6f177202,20:00 2026-01-04
COINBUSDT,Trade,715.1,2.5571,2.5673,0.00055,1.00572022,USDT,1.00572022,Long,Market, 5d6d5e63, 76eb806e,10:00 2026-01-04
COINBUSDT,Funding,715.1,2.4906,0,-0.00002624,-0.04672838,USDT,-0.04672838,Short,--, d9274de8, 38e55557,08:00 2026-01-04
COINBUSDT,Trade,715.1,2.4906,2.4806,0.00055,0.97956543,USDT,0.97956543,Short,Market, e6890552, 64d227c7,07:00 2026-01-04
COINAUSDT,Trade,20.081,102.57,102.98,0.00055,1.13283949,USDT,1.13283949,Long,Market, 5d38c9ba, 85cd7a80,11:00 2026-01-03
COINAUSDT,Funding,20.081,100.41,0,0.00003503,0.07064178,USDT,0.07064178,Short,--, 04e6f802, 15513629,08:00 2026-01-03
COINAUSDT,Funding,20.081,100.41,0,-0.00007815,-0.15757105,USDT,-0.15757105,Short,--, 07447fd3, 42cb21d0,00:00 2026-01-03
COINAUSDT,Trade,20.081,100.41,100.01,0.00055,1.10898327,USDT,1.10898327,Short,Market, 89e82d9f, bb1753b7,22:00 2026-01-02
COINBUSDT,Trade,308.5,2.4865,2.4964,0.00055,0.42189689,USDT,0.42189689,Long,Market, 8db1d638, a9dc7ddf,21:00 2026-01-01
COINBUSDT,Funding,308.5,2.4812,0,-0.00004816,-0.0368621,USDT,-0.0368621,Short,--, 7059cf5b, 821c15af,16:00 2026-01-01
COINBUSDT,Funding,308.5,2.4812,0,0.00000621,0.00475723,USDT,0.00475723,Short,--, 4420f437, bad9d2ce,08:00 2026-01-01
COINBUSDT,Trade,308.5,2.4812,2.4812,0.0002,0.15309004,USDT,0.15309004,Short,Limit, 2313f682, f2586838,05:00 2026-01-01
