Market,Order Quantity,Entry Price,Exit Price,Opening Fee,Closing Fee,Funding Fee,cumClosedPzOpenFeeInfo,cumClosedPzTradeFeeInfo,Trade Type,Realized P&L,Trade time
COINAUSDT,19.1200,97.52000000,98.34000000,1.02552032,0.37605216,0.08886950,"{""USDT"":""1.02552032""}","{""USDT"":""0.37605216""}",Trade,14.18795802,13:00 2026-02-02
COINAUSDT,12.8940,95.64000000,93.18000000,0.67825019,0.66080461,0.13027550,"{""USDT"":""0.67825019""}","{""USDT"":""0.66080461""}",Trade,-33.18857029,11:00 2026-01-31
COINCUSDT,5314.0000,0.37831000,0.36972000,0.40206787,1.08058064,0.05507239,"{""USDT"":""0.40206787""}","{""USDT"":""1.08058064""}",Trade,-47.18498090,15:00 2026-01-29
COINAUSDT,26.9720,96.15000000,98.91000000,1.42634679,1.46729029,-0.24586045,"{""USDT"":""1.42634679""}","{""USDT"":""1.46729029""}",Trade,-77.09049662,23:00 2026-01-28
COINAUSDT,21.3590,98.37000000,95.06000000,1.15559666,1.11671260,0.00000000,"{""USDT"":""1.15559666""}","{""USDT"":""1.1167126""}",Trade,-72.97059925,03:00 2026-01-27
COINCUSDT,3111.0000,0.38177000,0.38168000,0.23753729,0.65307356,-0.18195772,"{""USDT"":""0.23753729""}","{""USDT"":""0.65307356""}",Trade,-0.42866314,22:00 2026-01-25
COINAUSDT,22.3660,101.18000000,100.24000000,1.24464553,1.23308231,-0.44283287,"{""USDT"":""1.24464553""}","{""USDT"":""1.23308231""}",Trade,18.98914503,22:00 2026-01-23
COINBUSDT,278.6000,2.55330000,2.55920000,0.39124216,0.39214622,0.20866855,"{""USDT"":""0.39124216""}","{""USDT"":""0.39214622""}",Trade,0.65168308,23:00 2026-01-21
COINCUSDT,1331.0000,0.39203000,0.38753000,0.28698556,0.28369134,-0.05791811,"{""USDT"":""0.28698556""}","{""USDT"":""0.28369134""}",Trade,5.47674121,17:00 2026-01-19
COINAUSDT,24.0300,103.55000000,103.66000000,1.36856858,1.37002239,-0.10774283,"{""USDT"":""1.36856858""}","{""USDT"":""1.37002239""}",Trade,-5.27414814,07:00 2026-01-18
COINCUSDT,5261.0000,0.39820000,0.39257000,1.15221161,1.13592092,-0.16313658,"{""USDT"":""1.15221161""}","{""USDT"":""1.13592092""}",Trade,27.49443405,00:00 2026-01-17
COINBUSDT,429.1000,2.52570000,2.29840000,0.59607783,0.54243389,0.18912433,"{""USDT"":""0.59607783""}","{""USDT"":""0.54243389""}",Liquidation,-98.86206605,12:00 2026-01-15
COINBUSDT,457.5000,2.51130000,2.52670000,0.63190586,0.63578089,0.00377079,"{""USDT"":""0.63190586""}","{""USDT"":""0.63578089""}",Trade,-8.31695754,11:00 2026-01-13
COINCUSDT,6111.0000,0.40014000,0.38999000,1.34489055,1.31077589,0.61295875,"{""USDT"":""1.34489055""}","{""USDT"":""1.31077589""}",Trade,-65.29527518,14:00 2026-01-12
COINAUSDT,4.8780,103.09000000,100.64000000,0.27658016,0.27000706,-0.00888223,"{""USDT"":""0.27658016""}","{""USDT"":""0.27000706""}",Trade,11.41339501,02:00 2026-01-10
COINCUSDT,1206.0000,0.39544000,0.40664000,0.09538013,0.26972431,-0.01373569,"{""USDT"":""0.09538013""}","{""USDT"":""0.26972431""}",Trade,-13.85856875,17:00 2026-01-09
COINCUSDT,2783.0000,0.40484000,0.40212000,0.22533394,0.61550498,0.38992432,"{""USDT"":""0.22533394""}","{""USDT"":""0.61550498""}",Trade,-8.80052324,03:00 2026-01-08
COINAUSDT,20.3590,100.61000000,101.95000000,1.12657544,1.14158003,-0.00468287,"{""USDT"":""1.12657544""}","{""USDT"":""1.14158003""}",Trade,-29.54453260,10:00 2026-01-06
COINAUSDT,18.8410,99.18000000,98.48000000,1.02775771,1.02050392,0.00000000,"{""USDT"":""1.02775771""}","{""USDT"":""1.02050392""}",Trade,-15.23696163,21:00 2026-01-04
COINBUSDT,715.1000,2.49060000,2.55710000,0.97956543,1.00572022,-0.04672838,"{""USDT"":""0.97956543""}","{""USDT"":""1.00572022""}",Trade,-49.49270726,10:00 2026-01-04
COINAUSDT,20.0810,100.41000000,102.57000000,1.10898327,1.13283949,-0.08692927,"{""USDT"":""1.10898327""}","{""USDT"":""1.13283949""}",Trade,-45.52985349,11:00 2026-01-03
COINBUSDT,308.5000,2.48120000,2.48650000,0.15309004,0.42189689,-0.03210488,"{""USDT"":""0.15309004""}","{""USDT"":""0.42189689""}",Trade,-2.17793205,21:00 2026-01-01
